coh_m1,phi_m1,coh_m2,phi_m2,srf,origin
99.6209,26.6167,1.84801,34.3475,1.5,validation
101.326,23.6596,0.0614004,34.4797,1.42,validation
97.6203,23.5686,0.0880313,34.4595,1.41,validation
101.818,23.8468,1.18498,33.9105,1.42,validation
91.836,24.6144,0.469037,34.8116,1.43,validation
98.182,24.7375,0.64467,31.1508,1.37,validation
97.6067,21.4469,1.77464,31.8065,1.3,validation
100.947,23.3449,0.79997,37.0124,1.45,validation
99.5459,25.1875,1.24383,31.7374,1.41,validation
93.2768,24.2143,0.226986,36.5375,1.45,validation
94.2052,24.343,0.550438,36.2468,1.46,validation
99.6687,26.3509,1.38017,34.165,1.49,validation
97.4873,24.667,1.21246,33.141,1.42,validation
98.9567,24.0999,1.09174,34.6908,1.43,validation
92.9827,27.5068,0.633459,32.5117,1.46,validation
100.927,22.5707,0.397455,37.7109,1.42,validation
97.508,23.1046,0.360032,36.457,1.42,validation
99.8399,22.715,0.0409833,35.3152,1.4,validation
90.8031,27.4805,0.738735,37.4121,1.57,validation
94.61,24.5898,1.31129,36.6568,1.47,validation
98.4392,25.1033,1.32101,34.3622,1.45,validation
98.0998,23.7664,0.841432,37.3362,1.46,validation
100.242,22.2607,0.492221,34.966,1.39,validation
92.2287,27.9946,1.27224,36.6141,1.56,validation
100.385,24.9851,0.340298,32.6213,1.42,validation
98.8611,24.7726,0.711953,37.0593,1.5,validation
100.094,21.6528,1.11644,32.5188,1.33,validation
92.6755,26.083,1.96599,33.3799,1.44,validation
95.9636,27.8762,0.217129,35.8731,1.55,validation
100.827,25.5637,0.59846,31.9289,1.42,validation
100.644,21.4538,0.562241,35.8762,1.36,validation
94.6843,21.0385,1.33061,34.3483,1.32,validation
97.017,24.4742,0.0242649,31.4138,1.37,validation
101.395,25.6728,1.39136,33.8917,1.47,validation
100.502,26.7587,0.507944,37.3789,1.57,validation
100.428,24.5997,0.00299506,35.4786,1.47,validation
97.8288,23.5274,0.095106,37.3646,1.45,validation
98.091,21.3232,1.8949,36.8911,1.35,validation
94.3543,26.0098,1.17309,32.8537,1.44,validation
95.7362,25.8156,0.591394,32.8366,1.43,validation
97.6653,24.6844,1.87196,34.4322,1.44,validation
101.446,25.1979,0.934774,34.5261,1.47,validation
99.0863,25.4214,0.931174,32.3329,1.42,validation
101.603,25.1578,0.806257,36.123,1.5,validation
92.9034,27.6258,1.03775,31.6914,1.43,validation
93.6728,25.8795,0.456776,31.9634,1.41,validation
95.8535,22.6605,1.03747,33.1904,1.35,validation
93.7021,25.9235,0.333568,31.6069,1.4,validation
93.9801,27.7776,0.78392,31.3127,1.43,validation
100.461,25.9537,1.33288,36.5602,1.53,validation
98.0057,21.0697,0.00803908,35.4671,1.34,validation
93.3701,26.2843,1.82885,31.5136,1.41,validation
92.6194,23.261,1.15824,32.8259,1.35,validation
94.2477,27.6591,0.984232,35.3775,1.53,validation
94.3918,24.4957,0.0909357,35.8245,1.45,validation
97.4499,26.3327,0.459248,36.8715,1.54,validation
98.9076,23.7936,1.49341,35.9358,1.45,validation
97.9949,27.3629,0.373333,37.6031,1.59,validation
96.525,24.8422,0.603957,37.0762,1.49,validation
95.2083,27.8921,1.7035,31.8896,1.45,validation
98.3451,26.3063,0.202592,34.8736,1.5,validation
90.2162,25.3862,0.157462,33.6497,1.42,validation
97.431,24.4553,0.509367,32.9511,1.4,validation
94.8934,25.1198,0.057452,37.3156,1.5,validation
100.742,24.7165,0.570319,36.8451,1.5,validation
99.3082,23.8265,0.745301,34.8845,1.43,validation
99.8829,21.9653,1.73611,32.0663,1.33,validation
96.2819,23.5513,1.43445,31.1687,1.34,validation
98.7795,26.9698,0.063844,33.9337,1.49,validation
93.4523,26.829,0.872717,33.0075,1.46,validation
99.1449,26.4989,0.0349674,33.154,1.47,validation
100.456,27.8365,0.821959,31.1223,1.44,validation
92.0882,26.7797,0.426974,36.217,1.52,validation
96.155,23.4432,0.32628,32.9148,1.37,validation
96.0699,25.4089,0.810429,32.7133,1.4,validation
93.8736,21.1615,1.1808,32.2658,1.29,validation
90.5865,26.8114,1.52888,36.1875,1.52,validation
95.183,26.4513,0.70229,37.7614,1.56,validation
94.8098,24.0166,0.618173,31.0579,1.35,validation
99.7615,22.0337,1.30891,33.5093,1.35,validation
99.8613,23.3648,0.879675,33.9498,1.4,validation
95.3061,21.6037,1.47593,34.2175,1.34,validation
91.2297,23.5628,1.01009,32.6435,1.35,validation
93.5321,23.3085,0.596231,37.5545,1.42,validation
101.28,24.0014,1.44908,36.7612,1.48,validation
99.0666,26.2546,0.781344,33.858,1.48,validation
100.664,26.2724,0.246507,33.2923,1.47,validation
100.707,27.2162,0.079024,36.2962,1.56,validation
96.6818,26.2658,1.25644,36.8163,1.54,validation
101.107,24.1747,1.29742,31.8223,1.39,validation
97.3984,23.6031,0.898384,36.8049,1.45,validation
94.0975,25.2685,0.282796,34.65,1.45,validation
91.0149,23.057,0.0722651,34.3194,1.37,validation
97.2893,23.921,0.113377,35.7753,1.44,validation
95.6943,23.1535,1.13957,33.2351,1.37,validation
101.5,26.4187,0.971226,33.6119,1.49,validation
96.9369,24.4323,1.67827,33.5934,1.42,validation
99.6511,25.0554,0.473208,34.7467,1.46,validation
100.208,22.1581,0.175876,34.0919,1.37,validation
96.7294,23.1794,0.690453,35.721,1.42,validation
97.308,23.0447,0.386466,34.758,1.4,validation
94.8754,26.1042,0.26379,36.1769,1.51,validation
98.2121,27.1912,0.21215,34.8506,1.52,validation
101.9,24.6431,1.06827,33.9174,1.44,validation
91.0716,26.2468,0.523803,37.4433,1.53,validation
101.86,22.5012,0.482809,31.4716,1.34,validation
96.2164,21.2715,0.827942,36.3284,1.34,validation
101.097,25.596,1.165,34.2832,1.48,validation
93.7731,24.227,0.487205,36.8985,1.46,validation
95.9079,27.3054,1.12658,35.838,1.54,validation
94.4958,26.869,0.24319,34.0884,1.46,validation
96.1685,27.0835,0.198026,32.4837,1.45,validation
98.2528,22.1976,1.68221,33.3287,1.35,validation
101.574,25.3619,0.501604,37.1663,1.53,validation
100.356,24.5877,0.343115,31.8773,1.39,validation
97.8435,23.0189,0.136625,33.438,1.37,validation
100.151,27.2647,0.961085,32.2331,1.46,validation
96.7542,26.7458,0.411176,34.9912,1.51,validation
99.578,27.2448,1.07827,34.2933,1.52,validation
96.8845,22.4419,1.00894,34.7155,1.38,validation
101.051,21.5192,0.0991129,33.8137,1.34,validation
