coh_m1,phi_m1,coh_m2,srf,origin
91.10538130997098,21.14292046270242,1.270675905784852,1.31,validation
95.68603195908162,23.88506903785005,1.724158700938763,1.43,validation
94.71076022473584,25.1159408958137,1.028805472085721,1.46,validation
99.32060084563304,25.80762225674024,0.2361667962425678,1.49,validation
94.58056429162274,22.76547599163233,1.951867140329302,1.39,validation
91.60423516186225,21.26558343313626,0.2609096524769264,1.32,validation
96.19391725623727,27.4498833746507,1.136033186655476,1.52,validation
99.76486799135859,22.02287091202195,0.2152390910655417,1.38,validation
95.09868349965762,24.36099766143057,1.625071630454346,1.44,validation
93.48705535728752,27.73275489571961,0.08014520995747802,1.5,validation
94.20535541044164,21.41573721309018,0.6731426436630014,1.33,validation
95.78415017570937,22.63898908067375,1.898572111029352,1.39,validation
91.49448934700648,22.91747561753458,1.982935493385378,1.38,validation
100.7185958729989,27.53168271672551,1.750750963664021,1.54,validation
93.67967377965529,21.48203495337685,0.731141584584821,1.33,validation
97.68363289783206,22.44547075039923,1.595832703899064,1.39,validation
91.73117052452582,21.66537563801784,1.30473873839412,1.33,validation
100.011269341005,24.48582825392834,0.4622330408310969,1.45,validation
95.42486918676485,26.38458901922131,0.6866431137032288,1.49,validation
97.90825920657349,24.77322744126613,1.8234741561814,1.46,validation
100.9881355845695,23.75566602433351,1.680789342334017,1.44,validation
96.42385094399427,25.3612252674808,0.05679320756063085,1.46,validation
91.83841170463745,26.83810259590102,0.4996499625139786,1.49,validation
101.1350715499489,25.2181536754525,1.079259117486876,1.48,validation
94.0883418583773,22.1975015382252,0.4150315932151634,1.36,validation
90.76533113255877,26.28812148671213,1.869167534623284,1.48,validation
95.25658088184771,26.58479738748698,0.9408552994077267,1.48,validation
92.86017497810766,26.19596434868961,1.284417435338947,1.48,validation
95.92359757045271,27.58861746831596,0.4307562342134754,1.53,validation
100.4209616786911,25.52270844375013,1.91881364051907,1.49,validation
97.9778749053097,26.71842079775988,0.9925165116523704,1.51,validation
98.83481382656332,22.73072854555133,1.003855847712972,1.4,validation
98.89228924429804,24.98818869649354,1.179197595321418,1.46,validation
96.56457192613237,23.06794061741007,0.919786412575806,1.4,validation
95.23330041355571,24.19752458296982,1.483344670589202,1.44,validation
96.78529510035962,26.93396185376773,1.37261773772869,1.51,validation
94.84933595216556,27.27596600579555,0.7218309732356736,1.51,validation
101.7937944863571,22.94185994976269,1.173199318810896,1.41,validation
101.6118249800144,26.46780777224176,0.1459922783968976,1.51,validation
99.72596011766629,24.87007800418865,1.617446314910698,1.46,validation
97.51648417373309,27.07062826335562,0.8831722846458326,1.52,validation
99.22378062789932,27.95877075681723,1.418277627393355,1.55,validation
90.70426619263094,25.91370914456848,1.56609348793926,1.47,validation
90.5252671942468,24.62295210494141,0.6413114126047602,1.43,validation
98.38804016611721,25.41929808099391,1.453706179740029,1.48,validation
97.35778252192972,22.26145204255087,0.5903978714781231,1.38,validation
92.22505919726338,23.39570441261415,1.233668865304363,1.4,validation
